1password	ii 	8.12.30
libreoffice-l10n-zh-tw	ii 	4:25.2.3-2+deb13u6
libreoffice-math	ii 	4:25.2.3-2+deb13u6
libreoffice-style-colibre	ii 	4:25.2.3-2+deb13u6
libreoffice-uiconfig-calc	ii 	4:25.2.3-2+deb13u6
libreoffice-uiconfig-common	ii 	4:25.2.3-2+deb13u6
libreoffice-uiconfig-draw	ii 	4:25.2.3-2+deb13u6
libreoffice-uiconfig-impress	ii 	4:25.2.3-2+deb13u6
libreoffice-uiconfig-math	ii 	4:25.2.3-2+deb13u6
libreoffice-uiconfig-writer	ii 	4:25.2.3-2+deb13u6
libreoffice-voikko	ii 	5.0-4+b1
libreoffice-writer	ii 	4:25.2.3-2+deb13u6
libresid-builder0c2a:amd64	ii 	2.1.1-16
librevenge-0.0-0:amd64	ii 	0.0.5-3+b2
librist4:amd64	ii 	0.2.11+dfsg-1
librsvg2-2:amd64	ii 	2.60.0+dfsg-1
librsvg2-2:i386	ii 	2.60.0+dfsg-1
librsvg2-common:amd64	ii 	2.60.0+dfsg-1
librsvg2-common:i386	ii 	2.60.0+dfsg-1
librtmp1:amd64	ii 	2.4+20151223.gitfa8646d.1-2+b5
librttopo1:amd64	ii 	1.1.0-4
librubberband2:amd64	ii 	3.3.0+dfsg-2+b3
libsamplerate0:amd64	ii 	0.2.2-4+b2
libsamplerate0:i386	ii 	0.2.2-4+b2
libsane-common	ii 	1.3.1-3
libsane1:amd64	ii 	1.3.1-3+b1
libsasl2-2:amd64	ii 	2.1.28+dfsg1-9
libsasl2-modules:amd64	ii 	2.1.28+dfsg1-9
libsasl2-modules-db:amd64	ii 	2.1.28+dfsg1-9
libsbc1:amd64	ii 	2.1-1
libsctp1:amd64	ii 	1.0.21+dfsg-1
libsdl2-2.0-0:amd64	ii 	2.32.4+dfsg-1
libsdl2-2.0-0:i386	ii 	2.32.4+dfsg-1
libseccomp2:amd64	ii 	2.6.0-2
libsecret-1-0:amd64	ii 	0.21.7-1
libsecret-common	ii 	0.21.7-1
libselinux1:amd64	ii 	3.8.1-1
libselinux1:i386	ii 	3.8.1-1
libsemanage-common	ii 	3.8.1-1
libsemanage2:amd64	ii 	3.8.1-1
libsensors-config	ii 	1:3.6.2-2
libsensors5:amd64	ii 	1:3.6.2-2
libsensors5:i386	ii 	1:3.6.2-2
libsepol2:amd64	ii 	3.8.1-1
libserd-0-0:amd64	ii 	0.32.4-1
libsframe1:amd64	ii 	2.44-3
libsharpyuv0:amd64	ii 	1.5.0-0.1
libsharpyuv0:i386	ii 	1.5.0-0.1
libshine3:amd64	ii 	3.1.1-2+b2
libshine3:i386	ii 	3.1.1-2+b2
libshout3:amd64	ii 	2.4.6-1+b3
libsidplay1v5:amd64	ii 	1.36.60-1+b2
libsidplay2:amd64	ii 	2.1.1-16
libsigc++-2.0-0v5:amd64	ii 	2.12.1-3
libsigc++-3.0-0:amd64	ii 	3.6.0-2+b1
libslang2:amd64	ii 	2.3.3-5+b2
libsm6:amd64	ii 	2:1.2.6-1
libsmartcols1:amd64	ii 	2.41-5
libsmbclient0:amd64	ii 	2:4.22.10+dfsg-0+deb13u2
libsmi2t64:amd64	ii 	0.4.8+dfsg2-17+b1
libsnappy1v5:amd64	ii 	1.2.2-1
libsnappy1v5:i386	ii 	1.2.2-1
libsndfile1:amd64	ii 	1.2.2-2+deb13u1
libsndfile1:i386	ii 	1.2.2-2+deb13u1
libsnmp-base	ii 	5.9.4+dfsg-2+deb13u1
libsnmp40t64:amd64	ii 	5.9.4+dfsg-2+deb13u1
libsocket++1:amd64	ii 	1.12.13+git20131030.5d039ba-1+b2
libsodium23:amd64	ii 	1.0.18-1+deb13u1
libsonic0:amd64	ii 	0.2.0-13+b1
libsord-0-0:amd64	ii 	0.16.18-1
libsoundtouch1:amd64	ii 	2.4.0+ds-1
libsoup-2.4-1:amd64	ii 	2.74.3-10.1
libsoup-3.0-0:amd64	ii 	3.6.5-3
libsoup-3.0-common	ii 	3.6.5-3
libsoup2.4-common	ii 	2.74.3-10.1
libsoxr0:amd64	ii 	0.1.3-4+b2
libsoxr0:i386	ii 	0.1.3-4+b2
libspa-0.2-modules:amd64	ii 	1.4.2-1
libspandsp2t64:amd64	ii 	0.0.6+dfsg-2.2
libspatialaudio0t64:amd64	ii 	0.3.0+git20180730+dfsg1-2.1+b1
libspatialite8t64:amd64	ii 	5.1.0-3+b2
libspectre1:amd64	ii 	0.2.12-1+b2
libspeechd-module0:amd64	ii 	0.12.0-5
libspeechd2:amd64	ii 	0.12.0-5
libspeex1:amd64	ii 	1.2.1-3
libspeex1:i386	ii 	1.2.1-3
libspeexdsp1:amd64	ii 	1.2.1-3
libspeexdsp1:i386	ii 	1.2.1-3
libsphinxbase3t64:amd64	ii 	0.8+5prealpha+1-21+b1
libsqlite3-0:amd64	ii 	3.46.1-7+deb13u1
libsratom-0-0:amd64	ii 	0.6.18-1
libsrt1.5-gnutls:amd64	ii 	1.5.4-1
libsrtp2-1:amd64	ii 	2.7.0-3
libss2:amd64	ii 	1.47.2-3+b11
libssh-4:amd64	ii 	0.11.2-1+deb13u1
libssh2-1t64:amd64	ii 	1.11.1-1+deb13u1
libssl3t64:amd64	ii 	3.5.6-1~deb13u2
libssl3t64:i386	ii 	3.5.6-1~deb13u2
libstaroffice-0.0-0:amd64	ii 	0.0.7-1+b2
libstartup-notification0:amd64	ii 	0.12-8
libstdc++-14-dev:amd64	ii 	14.2.0-19
libstdc++6:amd64	ii 	14.2.0-19
libstdc++6:i386	ii 	14.2.0-19
libstemmer0d:amd64	ii 	2.2.0-4+b2
libsuitesparseconfig7:amd64	ii 	1:7.10.1+dfsg-1
libsvtav1enc2:amd64	ii 	2.3.0+dfsg-1
libsvtav1enc2:i386	ii 	2.3.0+dfsg-1
libswresample5:amd64	ii 	7:7.1.5-0+deb13u1
libswresample5:i386	ii 	7:7.1.5-0+deb13u1
libswscale8:amd64	ii 	7:7.1.5-0+deb13u1
libsynctex2:amd64	ii 	2024.20240313.70630+ds-6
libsystemd-shared:amd64	ii 	257.13-1~deb13u1
libsystemd0:amd64	ii 	257.13-1~deb13u1
libsystemd0:i386	ii 	257.13-1~deb13u1
libsz2:amd64	ii 	1.1.3-1+b1
libtag-c2:amd64	ii 	2.0.2-2
libtag2:amd64	ii 	2.0.2-2
libtalloc2:amd64	ii 	2:2.4.3+samba4.22.10+dfsg-0+deb13u2
libtasn1-6:amd64	ii 	4.20.0-2+deb13u1
libtasn1-6:i386	ii 	4.20.0-2+deb13u1
libtbb12:amd64	ii 	2022.1.0-1+deb13u1
libtbbbind-2-5:amd64	ii 	2022.1.0-1+deb13u1
libtbbmalloc2:amd64	ii 	2022.1.0-1+deb13u1
libtdb1:amd64	ii 	2:1.4.13+samba4.22.10+dfsg-0+deb13u2
libteamdctl0:amd64	ii 	1.31-1+b2
libtevent0t64:amd64	ii 	2:0.16.2+samba4.22.10+dfsg-0+deb13u2
libtext-charwidth-perl:amd64	ii 	0.04-11+b4
libtext-iconv-perl:amd64	ii 	1.7-8+b4
libtext-wrapi18n-perl	ii 	0.06-10
libthai-data	ii 	0.1.29-2
libthai0:amd64	ii 	0.1.29-2+b1
libthai0:i386	ii 	0.1.29-2+b1
libtheora0:amd64	ii 	1.2.0~alpha1+dfsg-6
libtheoradec1:amd64	ii 	1.2.0~alpha1+dfsg-6
libtheoradec1:i386	ii 	1.2.0~alpha1+dfsg-6
libtheoraenc1:amd64	ii 	1.2.0~alpha1+dfsg-6
libtheoraenc1:i386	ii 	1.2.0~alpha1+dfsg-6
libthunarx-3-0:amd64	ii 	4.20.2-1+deb13u1
libtie-ixhash-perl	ii 	1.23-4
libtiff6:amd64	ii 	4.7.0-3+deb13u3
libtiff6:i386	ii 	4.7.0-3+deb13u3
libtimedate-perl	ii 	2.3300-2
libtinfo6:amd64	ii 	6.5+20250216-2
libtinfo6:i386	ii 	6.5+20250216-2
libtinyxml2-11:amd64	ii 	11.0.0+dfsg-1+b1
libtinyxml2.6.2v5:amd64	ii 	2.6.2-7
libtirpc-common	ii 	1.3.6+ds-1
libtirpc3t64:amd64	ii 	1.3.6+ds-1
libtomlplusplus3t64:amd64	ii 	3.4.0+ds-0.2+b1
libtry-tiny-perl	ii 	0.32-1
libts0t64:amd64	ii 	1.22-1.1+b1
libtsan2:amd64	ii 	14.2.0-19
libtss2-esys-3.0.2-0t64:amd64	ii 	4.1.3-1.2
libtss2-mu-4.0.1-0t64:amd64	ii 	4.1.3-1.2
libtss2-sys1t64:amd64	ii 	4.1.3-1.2
libtss2-tcti-cmd0t64:amd64	ii 	4.1.3-1.2
libtss2-tcti-device0t64:amd64	ii 	4.1.3-1.2
libtss2-tcti-mssim0t64:amd64	ii 	4.1.3-1.2
libtss2-tcti-swtpm0t64:amd64	ii 	4.1.3-1.2
libtumbler-1-0t64:amd64	ii 	4.20.0-1
libtwolame0:amd64	ii 	0.4.0-2+b2
libtwolame0:i386	ii 	0.4.0-2+b2
libubsan1:amd64	ii 	14.2.0-19
libuchardet0:amd64	ii 	0.0.8-1+b2
libudev1:amd64	ii 	257.13-1~deb13u1
libudev1:i386	ii 	257.13-1~deb13u1
libudfread0:amd64	ii 	1.1.2-1+b2
libudisks2-0:amd64	ii 	2.10.1-12.1+deb13u1
libuim-custom2:amd64	ii 	1:1.9.6-1
libuim-scm0:amd64	ii 	1:1.9.6-1
libuim8:amd64	ii 	1:1.9.6-1
libunibreak6:amd64	ii 	6.1-3
libunistring5:amd64	ii 	1.3-2
libunistring5:i386	ii 	1.3-2
libuno-cppu3t64	ii 	4:25.2.3-2+deb13u6
libuno-cppuhelpergcc3-3t64	ii 	4:25.2.3-2+deb13u6
libuno-purpenvhelpergcc3-3t64	ii 	4:25.2.3-2+deb13u6
libuno-sal3t64	ii 	4:25.2.3-2+deb13u6
libuno-salhelpergcc3-3t64	ii 	4:25.2.3-2+deb13u6
libunwind8:amd64	ii 	1.8.1-0.1
libupnp17t64:amd64	ii 	1:1.14.20-1+deb13u1
libupower-glib3:amd64	ii 	1.90.9-1
liburcu8t64:amd64	ii 	0.15.2-2
liburi-perl	ii 	5.30-1
liburiparser1:amd64	ii 	0.9.8+dfsg-2
libusb-1.0-0:amd64	ii 	2:1.0.28-1
libusb-1.0-0:i386	ii 	2:1.0.28-1
libusbmuxd-2.0-7:amd64	ii 	2.1.0-1+b1
libutempter0:amd64	ii 	1.2.1-4
libuuid1:amd64	ii 	2.41-5
libuv1t64:amd64	ii 	1.50.0-2
libv4l-0t64:amd64	ii 	1.30.1-1
libv4lconvert0t64:amd64	ii 	1.30.1-1
libva-drm2:amd64	ii 	2.22.0-3
libva-drm2:i386	ii 	2.22.0-3
libva-glx2:amd64	ii 	2.22.0-3
libva-glx2:i386	ii 	2.22.0-3
libva-wayland2:amd64	ii 	2.22.0-3
libva-x11-2:amd64	ii 	2.22.0-3
libva-x11-2:i386	ii 	2.22.0-3
libva2:amd64	ii 	2.22.0-3
libva2:i386	ii 	2.22.0-3
libvdpau-va-gl1:amd64	ii 	0.4.2-2
libvdpau-va-gl1:i386	ii 	0.4.2-2
libvdpau1:amd64	ii 	1.5-3+b1
libvdpau1:i386	ii 	1.5-3+b1
libvidstab1.1:amd64	ii 	1.1.0-2+b2
libvisio-0.1-1:amd64	ii 	0.1.7-1+b5
libvisual-0.4-0:amd64	ii 	0.4.2-2+b2
libvlc-bin:amd64	ii 	3.0.23-0+deb13u1
libvlc5:amd64	ii 	3.0.23-0+deb13u1
libvlccore9:amd64	ii 	3.0.23-0+deb13u1
libvncclient1:amd64	ii 	0.9.15+dfsg-1+deb13u2
libvo-aacenc0:amd64	ii 	0.1.3-3
libvo-amrwbenc0:amd64	ii 	0.1.3-2+b2
libvoikko1:amd64	ii 	4.3.2-1+b2
libvolume-key1:amd64	ii 	0.3.12-9
libvorbis0a:amd64	ii 	1.3.7-3
libvorbis0a:i386	ii 	1.3.7-3
libvorbisenc2:amd64	ii 	1.3.7-3
libvorbisenc2:i386	ii 	1.3.7-3
libvorbisfile3:amd64	ii 	1.3.7-3
libvpl2	ii 	1:2.14.0-1+b1
libvpx9:amd64	ii 	1.15.0-2.1+deb13u1
libvpx9:i386	ii 	1.15.0-2.1+deb13u1
libvte-2.91-0:amd64	ii 	0.80.1-1
libvte-2.91-common	ii 	0.80.1-1
libvulkan1:amd64	ii 	1.4.309.0-1
libvulkan1:i386	ii 	1.4.309.0-1
libwacom-common	ii 	2.14.0-1
libwacom9:amd64	ii 	2.14.0-1
libwavpack1:amd64	ii 	5.8.1-1
libwayland-client0:amd64	ii 	1.23.1-3
libwayland-client0:i386	ii 	1.23.1-3
libwayland-cursor0:amd64	ii 	1.23.1-3
libwayland-cursor0:i386	ii 	1.23.1-3
libwayland-egl1:amd64	ii 	1.23.1-3
libwayland-egl1:i386	ii 	1.23.1-3
libwayland-server0:amd64	ii 	1.23.1-3
libwayland-server0:i386	ii 	1.23.1-3
libwbclient0:amd64	ii 	2:4.22.10+dfsg-0+deb13u2
libwebkit2gtk-4.1-0:amd64	ii 	2.52.5-1~deb13u1
libwebp7:amd64	ii 	1.5.0-0.1
libwebp7:i386	ii 	1.5.0-0.1
libwebpdemux2:amd64	ii 	1.5.0-0.1
libwebpmux3:amd64	ii 	1.5.0-0.1
libwebpmux3:i386	ii 	1.5.0-0.1
libwebrtc-audio-processing-1-3:amd64	ii 	1.3-3+b1
libwildmidi2:amd64	ii 	0.4.3-1+b3
libwireshark-data	ii 	4.4.16-0+deb13u1
libwireshark18:amd64	ii 	4.4.16-0+deb13u1
libwiretap15:amd64	ii 	4.4.16-0+deb13u1
libwmflite-0.2-7:amd64	ii 	0.2.13-1.1+b3
libwnck-3-0:amd64	ii 	43.2-1
libwnck-3-common	ii 	43.2-1
libwpd-0.10-10:amd64	ii 	0.10.3-2+b2
libwpg-0.3-3:amd64	ii 	0.3.4-3+b2
libwps-0.4-4:amd64	ii 	0.4.14-2+b2
libwrap0:amd64	ii 	7.6.q-36
libwsutil16:amd64	ii 	4.4.16-0+deb13u1
libwtmpdb0:amd64	ii 	0.73.0-3+deb13u1
libwww-perl	ii 	6.78-1
libwww-robotrules-perl	ii 	6.02-1
libx11-6:amd64	ii 	2:1.8.12-1
libx11-6:i386	ii 	2:1.8.12-1
libx11-data	ii 	2:1.8.12-1
libx11-protocol-perl	ii 	0.56-9
libx11-xcb1:amd64	ii 	2:1.8.12-1
libx11-xcb1:i386	ii 	2:1.8.12-1
libx264-164:amd64	ii 	2:0.164.3108+git31e19f9-2+b1
libx264-164:i386	ii 	2:0.164.3108+git31e19f9-2+b1
libx265-215:amd64	ii 	4.1-2
libx265-215:i386	ii 	4.1-2
libx86-1:amd64	ii 	1.1+ds1-13
libxapian30:amd64	ii 	1.4.29-3
libxatracker2:amd64	ii 	25.0.7-2+deb13u1
libxau6:amd64	ii 	1:1.0.11-1
libxau6:i386	ii 	1:1.0.11-1
libxaw7:amd64	ii 	2:1.0.16-1
libxcb-composite0:amd64	ii 	1.17.0-2+b1
libxcb-cursor0:amd64	ii 	0.1.5-1
libxcb-damage0:amd64	ii 	1.17.0-2+b1
libxcb-dri2-0:amd64	ii 	1.17.0-2+b1
libxcb-dri2-0:i386	ii 	1.17.0-2+b1
libxcb-dri3-0:amd64	ii 	1.17.0-2+b1
libxcb-dri3-0:i386	ii 	1.17.0-2+b1
libxcb-ewmh2:amd64	ii 	0.4.2-1
libxcb-glx0:amd64	ii 	1.17.0-2+b1
libxcb-glx0:i386	ii 	1.17.0-2+b1
libxcb-icccm4:amd64	ii 	0.4.2-1
libxcb-image0:amd64	ii 	0.4.0-2+b2
libxcb-imdkit1:amd64	ii 	1.0.9-1+b1
libxcb-keysyms1:amd64	ii 	0.4.1-1
libxcb-present0:amd64	ii 	1.17.0-2+b1
libxcb-present0:i386	ii 	1.17.0-2+b1
libxcb-randr0:amd64	ii 	1.17.0-2+b1
libxcb-randr0:i386	ii 	1.17.0-2+b1
libxcb-render-util0:amd64	ii 	0.3.10-1
libxcb-render0:amd64	ii 	1.17.0-2+b1
libxcb-render0:i386	ii 	1.17.0-2+b1
libxcb-res0:amd64	ii 	1.17.0-2+b1
libxcb-shape0:amd64	ii 	1.17.0-2+b1
libxcb-shm0:amd64	ii 	1.17.0-2+b1
libxcb-shm0:i386	ii 	1.17.0-2+b1
libxcb-sync1:amd64	ii 	1.17.0-2+b1
libxcb-sync1:i386	ii 	1.17.0-2+b1
libxcb-util1:amd64	ii 	0.4.1-1
libxcb-xfixes0:amd64	ii 	1.17.0-2+b1
libxcb-xfixes0:i386	ii 	1.17.0-2+b1
libxcb-xinerama0:amd64	ii 	1.17.0-2+b1
libxcb-xinput0:amd64	ii 	1.17.0-2+b1
libxcb-xkb1:amd64	ii 	1.17.0-2+b1
libxcb-xkb1:i386	ii 	1.17.0-2+b1
libxcb-xv0:amd64	ii 	1.17.0-2+b1
libxcb1:amd64	ii 	1.17.0-2+b1
libxcb1:i386	ii 	1.17.0-2+b1
libxcomposite1:amd64	ii 	1:0.4.6-1
libxcomposite1:i386	ii 	1:0.4.6-1
libxcursor1:amd64	ii 	1:1.2.3-1
libxcursor1:i386	ii 	1:1.2.3-1
libxcvt0:amd64	ii 	0.1.3-1
libxdamage1:amd64	ii 	1:1.1.6-1+b2
libxdamage1:i386	ii 	1:1.1.6-1+b2
libxdmcp6:amd64	ii 	1:1.1.5-1
libxdmcp6:i386	ii 	1:1.1.5-1
libxerces-c3.2t64:amd64	ii 	3.2.4+debian-1.3+b2
libxext6:amd64	ii 	2:1.3.4-1+b3
libxext6:i386	ii 	2:1.3.4-1+b3
libxfce4panel-2.0-4	ii 	4.20.4-1
libxfce4ui-2-0:amd64	ii 	4.20.1-1
libxfce4ui-common	ii 	4.20.1-1
libxfce4ui-utils	ii 	4.20.1-1
libxfce4util-bin	ii 	4.20.1-1
libxfce4util-common	ii 	4.20.1-1
libxfce4util7:amd64	ii 	4.20.1-1
libxfce4windowing-0-0:amd64	ii 	4.20.2-1
libxfce4windowing-common	ii 	4.20.2-1
libxfconf-0-3:amd64	ii 	4.20.0-1
libxfixes3:amd64	ii 	1:6.0.0-2+b4
libxfixes3:i386	ii 	1:6.0.0-2+b4
libxfont2:amd64	ii 	1:2.0.6-1+deb13u1
libxft2:amd64	ii 	2.3.6-1+b4
libxi6:amd64	ii 	2:1.8.2-1
libxi6:i386	ii 	2:1.8.2-1
libxinerama1:amd64	ii 	2:1.1.4-3+b4
libxinerama1:i386	ii 	2:1.1.4-3+b4
libxkbcommon-x11-0:amd64	ii 	1.7.0-2
libxkbcommon-x11-0:i386	ii 	1.7.0-2
libxkbcommon0:amd64	ii 	1.7.0-2
libxkbcommon0:i386	ii 	1.7.0-2
libxkbfile1:amd64	ii 	1:1.1.0-1+b4
libxklavier16:amd64	ii 	5.4-5+b2
libxml-parser-perl	ii 	2.47-2~deb13u1
libxml-twig-perl	ii 	1:3.52-3
libxml-xpathengine-perl	ii 	0.14-2
libxml2:amd64	ii 	2.12.7+dfsg+really2.9.14-2.1+deb13u3
libxml2:i386	ii 	2.12.7+dfsg+really2.9.14-2.1+deb13u3
libxmlb2:amd64	ii 	0.3.22-1
libxmlsec1t64:amd64	ii 	1.2.41-1+b1
libxmlsec1t64-nss:amd64	ii 	1.2.41-1+b1
libxmu6:amd64	ii 	2:1.1.3-3+b4
libxmuu1:amd64	ii 	2:1.1.3-3+b4
libxnnpack0.20241108:amd64	ii 	0.0~git20241108.4ea82e5-2
libxnvctrl0:amd64	ii 	535.171.04-1+b2
libxpm4:amd64	ii 	1:3.5.17-1+deb13u1
libxpresent1:amd64	ii 	1.0.1-1+b2
libxrandr2:amd64	ii 	2:1.5.4-1+b3
libxrandr2:i386	ii 	2:1.5.4-1+b3
libxrender1:amd64	ii 	1:0.9.12-1
libxrender1:i386	ii 	1:0.9.12-1
libxres1:amd64	ii 	2:1.2.1-1+b2
libxshmfence1:amd64	ii 	1.3.3-1
libxshmfence1:i386	ii 	1.3.3-1
libxslt1.1:amd64	ii 	1.1.35-1.2+deb13u3
libxss1:amd64	ii 	1:1.2.3-1+b3
libxss1:i386	ii 	1:1.2.3-1+b3
libxt6t64:amd64	ii 	1:1.2.1-1.2+b2
libxtables12:amd64	ii 	1.8.11-2
libxtst6:amd64	ii 	2:1.2.5-1
libxv1:amd64	ii 	2:1.0.11-1.1+b3
libxvidcore4:amd64	ii 	2:1.3.7-1+b2
libxvidcore4:i386	ii 	2:1.3.7-1+b2
libxvmc1:amd64	ii 	2:1.0.12-2+b3
libxxf86dga1:amd64	ii 	2:1.1.5-1+b3
libxxf86vm1:amd64	ii 	1:1.1.4-1+b4
libxxf86vm1:i386	ii 	1:1.1.4-1+b4
libxxhash0:amd64	ii 	0.8.3-2
libyajl2:amd64	ii 	2.1.0-5+b2
libyaml-0-2:amd64	ii 	0.2.5-2
libyelp0:amd64	ii 	42.2-4+deb13u1
libyuv0:amd64	ii 	0.0.1904.20250204-1
libz3-4:amd64	ii 	4.13.3-1
libz3-4:i386	ii 	4.13.3-1
libzbar0t64:amd64	ii 	0.23.93-8
libze1:amd64	ii 	1.20.6-1
libzen0t64:amd64	ii 	0.4.41-2.1+b1
libzim9:amd64	ii 	9.2.3-1.1+b1
libzimg2:amd64	ii 	3.0.5+ds1-1+b2
libzix-0-0:amd64	ii 	0.6.2-1
libzmf-0.0-0:amd64	ii 	0.0.2-1+b9
libzmq5:amd64	ii 	4.3.5-1+b3
libzstd1:amd64	ii 	1.5.7+dfsg-1
libzstd1:i386	ii 	1.5.7+dfsg-1
libzvbi-common	ii 	0.2.44-1
libzvbi0t64:amd64	ii 	0.2.44-1
libzvbi0t64:i386	ii 	0.2.44-1
libzxcvbn0:amd64	ii 	2.5+dfsg-2+b2
libzxing3:amd64	ii 	2.3.0-4
light-locker	ii 	1.8.0-3+b1
lightdm	ii 	1.32.0-6+b2
lightdm-gtk-greeter	ii 	2.0.9-1
linux-base	ii 	4.12.1
linux-image-6.12.94+deb13-amd64	ii 	6.12.94-1
linux-image-6.12.96+deb13-amd64	ii 	6.12.96-1
linux-image-amd64	ii 	6.12.96-1
linux-libc-dev	ii 	6.12.96-1
linux-sysctl-defaults	ii 	4.12.1
lm-sensors	ii 	1:3.6.2-2
locales	ii 	2.41-12+deb13u3
login	ii 	1:4.16.0-2+really2.41-5
login.defs	ii 	1:4.17.4-2
logrotate	ii 	3.22.0-1
logsave	ii 	1.47.2-3+b11
lsb-release	ii 	12.1-1
lsof	ii 	4.99.4+dfsg-2
luit	ii 	2.0.20240910-1
lynx	ii 	2.9.2-1
lynx-common	ii 	2.9.2-1
m17n-db	ii 	1.8.10-1
mailcap	ii 	3.74
make	ii 	4.4.1-2
man-db	ii 	2.13.1-1
manpages	ii 	6.9.1-1
manpages-dev	ii 	6.9.1-1
mariadb-common	ii 	1:11.8.6-0+deb13u1
mate-polkit	ii 	1.26.1-4+b1
mate-polkit-common	ii 	1.26.1-4
mawk	ii 	1.3.4.20250131-1
mdadm	ii 	4.4-11
media-types	ii 	13.0.0
mediainfo	ii 	25.04-1
mesa-libgallium:amd64	ii 	25.0.7-2+deb13u1
mesa-libgallium:i386	ii 	25.0.7-2+deb13u1
mesa-utils	ii 	9.0.0-2+b2
mesa-utils-bin:amd64	ii 	9.0.0-2+b2
mesa-va-drivers:amd64	ii 	25.0.7-2+deb13u1
mesa-va-drivers:i386	ii 	25.0.7-2+deb13u1
mesa-vdpau-drivers:amd64	ii 	25.0.7-2+deb13u1
mesa-vdpau-drivers:i386	ii 	25.0.7-2+deb13u1
mesa-vulkan-drivers:amd64	ii 	25.0.7-2+deb13u1
mesa-vulkan-drivers:i386	ii 	25.0.7-2+deb13u1
mobile-broadband-provider-info	ii 	20250613-2
modemmanager	ii 	1.24.0-1+deb13u1
mokutil	ii 	0.7.2-1
mount	ii 	2.41-5
mousepad	ii 	0.6.3-1
mozc-data	ii 	2.29.5160.102+dfsg-1.4
mozc-server	ii 	2.29.5160.102+dfsg-1.4
mozc-utils-gui	ii 	2.29.5160.102+dfsg-1.4
mtr-tiny	ii 	0.95-1.1+b1
myspell-eo	ii 	3.7-2
myspell-es	ii 	1.11-20
myspell-et	ii 	1:20030606-32
myspell-fa	ii 	0.20070816-3.2
myspell-ga	ii 	2.0-27.1
myspell-he	ii 	1.4-3.1
myspell-nb	ii 	2.2-4
myspell-nn	ii 	2.2-4
myspell-sk	ii 	0.5.5a-2.4
myspell-sq	ii 	1.6.4-1.2
myspell-uk	ii 	1.8.0+dfsg-1
mysql-common	ii 	5.8+1.1.1
mythes-cs	ii 	1:25.2.3-1
mythes-de	ii 	20160424-4
mythes-de-ch	ii 	20160424-4
mythes-en-us	ii 	1:25.2.3-1
mythes-fr	ii 	1:25.2.3-1
mythes-it	ii 	1:25.2.3-1
mythes-ne	ii 	1:25.2.3-1
mythes-pl	ii 	1.5-4.3
mythes-ru	ii 	1:25.2.3-1
mythes-sk	ii 	1:25.2.3-1
nano	ii 	8.4-1+deb13u1
ncdu	ii 	1.22-1
ncurses-base	ii 	6.5+20250216-2
ncurses-bin	ii 	6.5+20250216-2
ncurses-term	ii 	6.5+20250216-2
net-tools	ii 	2.10-1.3
netbase	ii 	6.5
network-manager	ii 	1.52.1-1
network-manager-applet	ii 	1.36.0-3+b1
network-manager-l10n	ii 	1.52.1-1
nftables	ii 	1.1.3-1
nm-connection-editor	ii 	1.36.0-3+b1
nmap	ii 	7.95+dfsg-3
nmap-common	ii 	7.95+dfsg-3
node-clipboard	ii 	2.0.11+ds+~cs9.6.11-1
node-normalize.css	ii 	8.0.1-5
node-prismjs	ii 	1.29.0+dfsg+~1.26.0-1
ntfs-3g	ii 	1:2022.10.3-5+deb13u2
ocl-icd-libopencl1:amd64	ii 	2.3.3-1
ocl-icd-libopencl1:i386	ii 	2.3.3-1
openssh-client	ii 	1:10.0p1-7+deb13u4
openssh-server	ii 	1:10.0p1-7+deb13u4
openssh-sftp-server	ii 	1:10.0p1-7+deb13u4
openssl	ii 	3.5.6-1~deb13u2
openssl-provider-legacy	ii 	3.5.6-1~deb13u2
orca	ii 	48.1-1+deb13u2
os-prober	ii 	1.83
p11-kit	ii 	0.25.5-3
p11-kit-modules:amd64	ii 	0.25.5-3
p7zip-full	ii 	16.02+transitional.1
p7zip-rar	ii 	16.02+transitional.1
packagekit	ii 	1.3.1-1+deb13u1
packagekit-tools	ii 	1.3.1-1+deb13u1
parole	ii 	4.18.2-1
parted	ii 	3.6-5
passwd	ii 	1:4.17.4-2
patch	ii 	2.8-2
pavucontrol	ii 	6.1-1
pci.ids	ii 	0.0~2025.06.09-1
pciutils	ii 	1:3.13.0-2
perl	ii 	5.40.1-6
perl-base	ii 	5.40.1-6
perl-modules-5.40	ii 	5.40.1-6
perl-openssl-defaults:amd64	ii 	7+b2
perl-tk	ii 	1:804.036+dfsg1-5
pinentry-curses	ii 	1.3.1-2
pinentry-gnome3	ii 	1.3.1-2
pipx	ii 	1.7.1-1
pkexec	ii 	126-2
plymouth	ii 	24.004.60-5
plymouth-label	ii 	24.004.60-5
pocketsphinx-en-us	ii 	0.8+5prealpha+1-15
polkitd	ii 	126-2
poppler-data	ii 	0.4.12-1
poppler-utils	ii 	25.03.0-5+deb13u4
powermgmt-base	ii 	1.38
ppp	ii 	2.5.2-1+1
presage	ii 	0.9.1-2.6+deb13u1
procps	ii 	2:4.0.4-9
proj-bin	ii 	9.6.0-1
proj-data	ii 	9.6.0-1
psmisc	ii 	23.7-2
publicsuffix	ii 	20250328.1952-0.1
pulseaudio	ii 	17.0+dfsg1-2+b1
pulseaudio-utils	ii 	17.0+dfsg1-2+b1
python3	ii 	3.13.5-1
python3-argcomplete	ii 	3.6.2-1
python3-brlapi:amd64	ii 	6.7-3.1+deb13u3
